pf,0F,po,so,o,proc,st,m,rl,x,mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes                                        "
66,0F,D4,,r,P4+,,,,,PADDQ,xmm,xmm/m128,,,sse2,,,,,,Add Packed Quadword Integers
,0F,D5,,r,PX+,,,,,PMULLW,mm,mm/m64,,,mmx,,,,,,Multiply Packed Signed Integers and Store Low Result
66,0F,D5,,r,P4+,,,,,PMULLW,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Signed Integers and Store Low Result
66,0F,D6,,r,P4+,,,,,MOVQ,xmm/m64,xmm,,,sse2,,,,,,Move Quadword
F3,0F,D6,,r,P4+,,,,,MOVQ2DQ,xmm,mm,,,sse2,,,,,,Move Quadword from MMX Technology to XMM Register
F2,0F,D6,,r,P4+,,,,,MOVDQ2Q,mm,xmm,,,sse2,,,,,,Move Quadword from XMM to MMX Technology Register
,0F,D7,,r,P3+,,,,,PMOVMSKB,r32,mm,,,sse1,,,,,,Move Byte Mask
66,0F,D7,,r,P3+,,,,,PMOVMSKB,r32,xmm,,,sse1,,,,,,Move Byte Mask
,0F,D8,,r,PX+,,,,,PSUBUSB,mm,mm/m64,,,mmx,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
66,0F,D8,,r,P4+,,,,,PSUBUSB,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
,0F,D9,,r,PX+,,,,,PSUBUSW,mm,mm/m64,,,mmx,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
66,0F,D9,,r,PX+,,,,,PSUBUSW,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Unsigned Integers with Unsigned Saturation
,0F,DA,,r,P3+,,,,,PMINUB,mm,mm/m64,,,sse1,,,,,,Minimum of Packed Unsigned Byte Integers
66,0F,DA,,r,P3+,,,,,PMINUB,xmm,xmm/m128,,,sse1,,,,,,Minimum of Packed Unsigned Byte Integers
,0F,DB,,r,PX+,,,,,PAND,mm,mm/m64,,,mmx,,,,,,Logical AND
66,0F,DB,,r,P4+,,,,,PAND,xmm,xmm/m128,,,sse2,,,,,,Logical AND
,0F,DC,,r,PX+,,,,,PADDUSB,mm,mm/m64,,,mmx,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
66,0F,DC,,r,P4+,,,,,PADDUSB,xmm,xmm/m128,,,sse2,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
,0F,DD,,r,PX+,,,,,PADDUSW,mm,mm/m64,,,mmx,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
66,0F,DD,,r,P4+,,,,,PADDUSW,xmm,xmm/m128,,,sse2,,,,,,Add Packed Unsigned Integers with Unsigned Saturation
,0F,DE,,r,P3+,,,,,PMAXUB,mm,mm/m64,,,sse1,,,,,,Maximum of Packed Unsigned Byte Integers
66,0F,DE,,r,P3+,,,,,PMAXUB,xmm,xmm/m128,,,sse1,,,,,,Maximum of Packed Unsigned Byte Integers
,0F,DF,,r,PX+,,,,,PANDN,mm,mm/m64,,,mmx,,,,,,Logical AND NOT
66,0F,DF,,r,P4+,,,,,PANDN,xmm,xmm/m128,,,sse2,,,,,,Logical AND NOT
,0F,E0,,r,P3+,,,,,PAVGB,mm,mm/m64,,,sse1,,,,,,Average Packed Integers
66,0F,E0,,r,P3+,,,,,PAVGB,xmm,xmm/m128,,,sse1,,,,,,Average Packed Integers
,0F,E1,,r,PX+,,,,,PSRAW,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Arithmetic
66,0F,E1,,r,P4+,,,,,PSRAW,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Arithmetic
,0F,E2,,r,PX+,,,,,PSRAD,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Right Arithmetic
66,0F,E2,,r,P4+,,,,,PSRAD,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Right Arithmetic
,0F,E3,,r,P3+,,,,,PAVGW,mm,mm/m64,,,sse1,,,,,,Average Packed Integers
66,0F,E3,,r,P3+,,,,,PAVGW,xmm,xmm/m128,,,sse1,,,,,,Average Packed Integers
,0F,E4,,r,P3+,,,,,PMULHUW,mm,mm/m64,,,sse1,,,,,,Multiply Packed Unsigned Integers and Store High Result
66,0F,E4,,r,P3+,,,,,PMULHUW,xmm,xmm/m128,,,sse1,,,,,,Multiply Packed Unsigned Integers and Store High Result
,0F,E5,,r,PX+,,,,,PMULHW,mm,mm/m64,,,mmx,,,,,,Multiply Packed Signed Integers and Store High Result
66,0F,E5,,r,P4+,,,,,PMULHW,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Signed Integers and Store High Result
F2,0F,E6,,r,P4+,,,,,CVTPD2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert Packed Double-FP Values to DW Integers
66,0F,E6,,r,P4+,,,,,CVTTPD2DQ,xmm,xmm/m128,,,sse2,,,,,,Convert with Trunc. Packed Double-FP Values to DW Integers
F3,0F,E6,,r,P4+,,,,,CVTDQ2PD,xmm,xmm/m128,,,sse2,,,,,,Convert Packed DW Integers to Double-FP Values
,0F,E7,,r,P3+,,,,,MOVNTQ,m64,mm,,,sse1,,,,,,Store of Quadword Using Non-Temporal Hint
66,0F,E7,,r,P4+,,,,,MOVNTDQ,m128,xmm,,,sse2,,,,,,Store Double Quadword Using Non-Temporal Hint
,0F,E8,,r,PX+,,,,,PSUBSB,mm,mm/m64,,,mmx,,,,,,Subtract Packed Signed Integers with Signed Saturation
66,0F,E8,,r,P4+,,,,,PSUBSB,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Signed Integers with Signed Saturation
,0F,E9,,r,PX+,,,,,PSUBSW,mm,mm/m64,,,mmx,,,,,,Subtract Packed Signed Integers with Signed Saturation
66,0F,E9,,r,P4+,,,,,PSUBSW,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Signed Integers with Signed Saturation
,0F,EA,,r,P3+,,,,,PMINSW,mm,mm/m64,,,sse1,,,,,,Minimum of Packed Signed Word Integers
66,0F,EA,,r,P3+,,,,,PMINSW,xmm,xmm/m128,,,sse1,,,,,,Minimum of Packed Signed Word Integers
,0F,EB,,r,PX+,,,,,POR,mm,mm/m64,,,mmx,,,,,,Bitwise Logical OR
66,0F,EB,,r,P4+,,,,,POR,xmm,xmm/m128,,,sse2,,,,,,Bitwise Logical OR
,0F,EC,,r,PX+,,,,,PADDSB,mm,mm/m64,,,mmx,,,,,,Add Packed Signed Integers with Signed Saturation
66,0F,EC,,r,P4+,,,,,PADDSB,xmm,xmm/m128,,,sse2,,,,,,Add Packed Signed Integers with Signed Saturation
,0F,ED,,r,PX+,,,,,PADDSW,mm,mm/m64,,,mmx,,,,,,Add Packed Signed Integers with Signed Saturation
66,0F,ED,,r,P4+,,,,,PADDSW,xmm,xmm/m128,,,sse2,,,,,,Add Packed Signed Integers with Signed Saturation
,0F,EE,,r,P3+,,,,,PMAXSW,mm,mm/m64,,,sse1,,,,,,Maximum of Packed Signed Word Integers
66,0F,EE,,r,P3+,,,,,PMAXSW,xmm,xmm/m128,,,sse1,,,,,,Maximum of Packed Signed Word Integers
,0F,EF,,r,PX+,,,,,PXOR,mm,mm/m64,,,mmx,,,,,,Logical Exclusive OR
66,0F,EF,,r,P4+,,,,,PXOR,xmm,xmm/m128,,,sse2,,,,,,Logical Exclusive OR
F2,0F,F0,,r,P4++,,,,,LDDQU,xmm,m128,,,sse3,,,,,,Load Unaligned Integer 128 Bits
,0F,F1,,r,PX+,,,,,PSLLW,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Left Logical
66,0F,F1,,r,P4+,,,,,PSLLW,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Left Logical
,0F,F2,,r,PX+,,,,,PSLLD,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Left Logical
66,0F,F2,,r,P4+,,,,,PSLLD,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Left Logical
,0F,F3,,r,PX+,,,,,PSLLQ,mm,mm/m64,,,mmx,,,,,,Shift Packed Data Left Logical
66,0F,F3,,r,P4+,,,,,PSLLQ,xmm,xmm/m128,,,sse2,,,,,,Shift Packed Data Left Logical
,0F,F4,,r,P4+,,,,,PMULUDQ,mm,mm/m64,,,sse2,,,,,,Multiply Packed Unsigned DW Integers
66,0F,F4,,r,P4+,,,,,PMULUDQ,xmm,xmm/m128,,,sse2,,,,,,Multiply Packed Unsigned DW Integers
,0F,F5,,r,PX+,,,,,PMADDWD,mm,mm/m64,,,mmx,,,,,,Multiply and Add Packed Integers
66,0F,F5,,r,P4+,,,,,PMADDWD,xmm,xmm/m128,,,sse2,,,,,,Multiply and Add Packed Integers
,0F,F6,,r,P3+,,,,,PSADBW,mm,mm/m64,,,sse1,,,,,,Compute Sum of Absolute Differences
66,0F,F6,,r,P3+,,,,,PSADBW,xmm,xmm/m128,,,sse1,,,,,,Compute Sum of Absolute Differences
,0F,F7,,r,P3+,D23,,,,MASKMOVQ,m64,mm,mm,,sse1,,,,,,Store Selected Bytes of Quadword
66,0F,F7,,r,P4+,,,,,MASKMOVDQU,m128,xmm,xmm,,sse2,,,,,,Store Selected Bytes of Double Quadword
,0F,F8,,r,PX+,,,,,PSUBB,mm,mm/m64,,,mmx,,,,,,Subtract Packed Integers
66,0F,F8,,r,P4+,,,,,PSUBB,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Integers
,0F,F9,,r,PX+,,,,,PSUBW,mm,mm/m64,,,mmx,,,,,,Subtract Packed Integers
66,0F,F9,,r,P4+,,,,,PSUBW,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Integers
,0F,FA,,r,PX+,,,,,PSUBD,mm,mm/m64,,,mmx,,,,,,Subtract Packed Integers
66,0F,FA,,r,P4+,,,,,PSUBD,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Integers
,0F,FB,,r,P4+,,,,,PSUBQ,mm,mm/m64,,,sse2,,,,,,Subtract Packed Quadword Integers
66,0F,FB,,r,P4+,,,,,PSUBQ,xmm,xmm/m128,,,sse2,,,,,,Subtract Packed Quadword Integers
,0F,FC,,r,PX+,,,,,PADDB,mm,mm/m64,,,mmx,,,,,,Add Packed Integers
66,0F,FC,,r,P4+,,,,,PADDB,xmm,xmm/m128,,,sse2,,,,,,Add Packed Integers
,0F,FD,,r,PX+,,,,,PADDW,mm,mm/m64,,,mmx,,,,,,Add Packed Integers
66,0F,FD,,r,P4+,,,,,PADDW,xmm,xmm/m128,,,sse2,,,,,,Add Packed Integers
,0F,FE,,r,PX+,,,,,PADDD,mm,mm/m64,,,mmx,,,,,,Add Packed Integers
66,0F,FE,,r,P4+,,,,,PADDD,xmm,xmm/m128,,,sse2,,,,,,Add Packed Integers
